Software,Version,Dependent Toolchain,Module Load Command
zlib,.1.3.1,-,`module load zlib/.1.3.1`
zlib,.1.2.13,-,`module load zlib/.1.2.13`
ffnvcodec,12.2.72.0,-,`module load ffnvcodec/12.2.72.0`
ffnvcodec,13.0.19.0,-,`module load ffnvcodec/13.0.19.0`
Perl,5.38.0,-,`module load Perl/5.38.0`
M4,1.4.19,-,`module load M4/1.4.19`
Altair,2023,-,`module load Altair/2023`
CUDA,12.6.0,-,`module load CUDA/12.6.0`
CUDA,12.8.0,-,`module load CUDA/12.8.0`
gettext,0.22.5,-,`module load gettext/0.22.5`
cuDNN,9.5.0.50-CUDA-12.6.0,-,`module load cuDNN/9.5.0.50-CUDA-12.6.0`
NVHPC,25.3-CUDA-12.8.0,-,`module load NVHPC/25.3-CUDA-12.8.0`
Bison,3.8.2,-,`module load Bison/3.8.2`
intel,2024a,-,`module load intel/2024a`
intel,2025a,-,`module load intel/2025a`
ParaView,5.11.2-egl,-,`module load ParaView/5.11.2-egl`
ParaView,5.11.2-osmesa,-,`module load ParaView/5.11.2-osmesa`
flex,2.6.4,-,`module load flex/2.6.4`
Miniforge3,24.11.3-0,-,`module load Miniforge3/24.11.3-0`
foss,2024a,-,`module load foss/2024a`
foss,2025a,-,`module load foss/2025a`
EasyBuild,5.1.1,-,`module load EasyBuild/5.1.1`
Avogadro2,1.97.0-linux-x86_64,-,`module load Avogadro2/1.97.0-linux-x86_64`
imkl,2025.1.0,-,`module load imkl/2025.1.0`
imkl,2024.2.0,-,`module load imkl/2024.2.0`
OpenSSL,3,-,`module load OpenSSL/3`
VESTA,3.90.5-gtk3,-,`module load VESTA/3.90.5-gtk3`
Gaussian,16.C.03-AVX2,-,`module load Gaussian/16.C.03-AVX2`
binutils,2.40,-,`module load binutils/2.40`
binutils,2.42,-,`module load binutils/2.42`
intel-compilers,2025.1.1,intel/2025a,`module load intel-compilers/2025.1.1`
intel-compilers,2024.2.0,intel/2024a,`module load intel-compilers/2024.2.0`
tecplot,2024R1,-,`module load tecplot/2024R1`
VSCode,1.88.1,-,`module load VSCode/1.88.1`
Java,17.0.15,-,`module load Java/17.0.15`
Java,23.0.2,-,`module load Java/23.0.2`
Java,.modulerc,-,`module load Java/.modulerc`
gompi,2024a,-,`module load gompi/2024a`
gompi,2025a,-,`module load gompi/2025a`
ncurses,.6.5,-,`module load ncurses/.6.5`
gfbf,2024a,-,`module load gfbf/2024a`
gfbf,2025a,-,`module load gfbf/2025a`
p7zip,17.04,-,`module load p7zip/17.04`
libevent,2.1.12,-,`module load libevent/2.1.12`
ABAQUS,2024-hotfix-2405,-,`module load ABAQUS/2024-hotfix-2405`
GCC,14.2.0,foss/2025a,`module load GCC/14.2.0`
GCC,13.3.0,foss/2024a,`module load GCC/13.3.0`
rclone,1.68.1,-,`module load rclone/1.68.1`
tmux,3.5a,-,`module load tmux/3.5a`
iimpi,2024a,-,`module load iimpi/2024a`
iimpi,2025a,-,`module load iimpi/2025a`
MATLAB,2024a,-,`module load MATLAB/2024a`
MATLAB,2025a,-,`module load MATLAB/2025a`
Julia,1.11.6-linux-x86_64,-,`module load Julia/1.11.6-linux-x86_64`
Julia,1.9.3-linux-x86_64,-,`module load Julia/1.9.3-linux-x86_64`
ANSYS,2025R1,-,`module load ANSYS/2025R1`
ANSYS,2024R1,-,`module load ANSYS/2024R1`
GCCcore,14.2.0,-,`module load GCCcore/14.2.0`
GCCcore,13.3.0,-,`module load GCCcore/13.3.0`
Go,1.22.1,-,`module load Go/1.22.1`
Go,1.23.6,-,`module load Go/1.23.6`
pkgconf,1.8.0,-,`module load pkgconf/1.8.0`
HDF5,1.14.6,intel/2025a,`module load intel/2025a HDF5/1.14.6`
imkl-FFTW,2025.1.0,intel/2025a,`module load intel/2025a imkl-FFTW/2025.1.0`
VASP,6.5.0,intel/2025a,`module load intel/2025a VASP/6.5.0`
imkl-FFTW,2024.2.0,intel/2024a,`module load intel/2024a imkl-FFTW/2024.2.0`
GROMACS,2025.2-CUDA-12.8.0,foss/2025a,`module load foss/2025a GROMACS/2025.2-CUDA-12.8.0`
GROMACS,2025.2,foss/2025a,`module load foss/2025a GROMACS/2025.2`
CP2K,2025.2,foss/2025a,`module load foss/2025a CP2K/2025.2`
PLUMED,2.9.4,foss/2025a,`module load foss/2025a PLUMED/2.9.4`
MDAnalysis,2.9.0,foss/2025a,`module load foss/2025a MDAnalysis/2.9.0`
PnetCDF,1.14.0,foss/2025a,`module load foss/2025a PnetCDF/1.14.0`
petsc4py,3.23.5,foss/2025a,`module load foss/2025a petsc4py/3.23.5`
netCDF-Fortran,4.6.2,foss/2025a,`module load foss/2025a netCDF-Fortran/4.6.2`
Biopython,1.85,foss/2025a,`module load foss/2025a Biopython/1.85`
PyTables,3.10.2,foss/2025a,`module load foss/2025a PyTables/3.10.2`
SuiteSparse,7.10.3,foss/2025a,`module load foss/2025a SuiteSparse/7.10.3`
mpi4py,4.1.0,foss/2025a,`module load foss/2025a mpi4py/4.1.0`
netCDF,4.9.3,foss/2025a,`module load foss/2025a netCDF/4.9.3`
MUMPS,5.8.1-metis,foss/2025a,`module load foss/2025a MUMPS/5.8.1-metis`
RDKit,2025.03.4,foss/2025a,`module load foss/2025a RDKit/2025.03.4`
Chapel,2.5.0,foss/2025a,`module load foss/2025a Chapel/2.5.0`
SuperLU_DIST,9.1.0,foss/2025a,`module load foss/2025a SuperLU_DIST/9.1.0`
SCOTCH,7.0.8,foss/2025a,`module load foss/2025a SCOTCH/7.0.8`
HDF5,1.14.6,foss/2025a,`module load foss/2025a HDF5/1.14.6`
perm-md-count,main,foss/2025a,`module load foss/2025a perm-md-count/main`
ParMETIS,4.0.3,foss/2025a,`module load foss/2025a ParMETIS/4.0.3`
PETSc,3.23.5,foss/2025a,`module load foss/2025a PETSc/3.23.5`
SLEPc,3.23.2,foss/2025a,`module load foss/2025a SLEPc/3.23.2`
slepc4py,3.23.2,foss/2025a,`module load foss/2025a slepc4py/3.23.2`
netcdf4-python,1.7.2,foss/2025a,`module load foss/2025a netcdf4-python/1.7.2`
